epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4103.71,0.36214,0.27957,0.91575,0.99763,0.99832,0.99456,0.96514,0.25669,0.17673,0.80582,0.007921,0.007921,0.007921
44,4199.81,0.36196,0.27822,0.91851,0.99786,0.99832,0.99461,0.96338,0.25723,0.17876,0.80875,0.0078715,0.0078715,0.0078715
45,4296.5,0.36706,0.27114,0.92061,0.99758,0.99832,0.99433,0.96404,0.26136,0.18381,0.81615,0.007822,0.007822,0.007822
46,4392.97,0.36113,0.27137,0.9157,0.99775,0.99832,0.99361,0.96466,0.25468,0.17125,0.81137,0.0077725,0.0077725,0.0077725
47,4490.19,0.35625,0.26904,0.9161,0.9976,0.99832,0.99372,0.966,0.2484,0.16804,0.80225,0.007723,0.007723,0.007723
48,4586.9,0.36133,0.27427,0.9223,0.99767,0.99832,0.99408,0.96671,0.25169,0.17186,0.80364,0.0076735,0.0076735,0.0076735
49,4684.06,0.3525,0.27165,0.90938,0.99746,0.99832,0.99393,0.9658,0.24679,0.16968,0.80528,0.007624,0.007624,0.007624
50,4780.31,0.34995,0.27237,0.91628,0.9977,0.99832,0.99446,0.96755,0.24481,0.17234,0.80339,0.0075745,0.0075745,0.0075745
51,4877.28,0.35083,0.26916,0.91517,0.99776,0.99832,0.99423,0.9675,0.24579,0.1667,0.80485,0.007525,0.007525,0.007525
52,4974.68,0.34707,0.26323,0.90813,0.9976,0.99832,0.99394,0.96407,0.2448,0.17187,0.80061,0.0074755,0.0074755,0.0074755
53,5070.98,0.3474,0.26872,0.91426,0.99768,0.99832,0.99401,0.9611,0.2497,0.16694,0.80708,0.007426,0.007426,0.007426
54,5168.23,0.35195,0.26914,0.91162,0.99095,0.99832,0.99371,0.96406,0.24557,0.17715,0.80783,0.0073765,0.0073765,0.0073765
55,5264.81,0.34598,0.26132,0.91408,0.99714,0.99832,0.99394,0.96593,0.24303,0.17248,0.7991,0.007327,0.007327,0.007327
56,5361.77,0.34736,0.26079,0.91056,0.99769,0.99832,0.99354,0.9681,0.24218,0.16679,0.80268,0.0072775,0.0072775,0.0072775
57,5458.86,0.34665,0.25595,0.91338,0.9978,0.99832,0.99423,0.96975,0.23266,0.15646,0.79606,0.007228,0.007228,0.007228
58,5555.84,0.3489,0.26226,0.91694,0.99722,0.99832,0.99441,0.96987,0.23533,0.1656,0.79923,0.0071785,0.0071785,0.0071785
59,5652.48,0.33622,0.25332,0.9079,0.99774,0.99832,0.99384,0.9669,0.24015,0.16233,0.80501,0.007129,0.007129,0.007129
60,5748.71,0.34074,0.25753,0.90702,0.992,0.99832,0.99426,0.97035,0.23103,0.16205,0.79419,0.0070795,0.0070795,0.0070795
61,5845.35,0.33787,0.25862,0.90895,0.99755,0.99832,0.99349,0.96758,0.23506,0.16189,0.7987,0.00703,0.00703,0.00703
62,5941.7,0.34146,0.25175,0.90879,0.99769,0.99832,0.99351,0.97062,0.23161,0.164,0.79755,0.0069805,0.0069805,0.0069805
63,6038.63,0.34079,0.25298,0.91237,0.99772,0.99832,0.99391,0.97022,0.23882,0.15921,0.79796,0.006931,0.006931,0.006931
64,6135.35,0.33669,0.24672,0.91086,0.9977,0.99832,0.99414,0.97247,0.23664,0.16232,0.80217,0.0068815,0.0068815,0.0068815
65,6232.13,0.32951,0.25118,0.90852,0.99783,0.99832,0.99416,0.96781,0.23945,0.16054,0.80564,0.006832,0.006832,0.006832
66,6328.56,0.33577,0.24818,0.90686,0.99736,0.99832,0.99389,0.96863,0.23391,0.16057,0.80399,0.0067825,0.0067825,0.0067825
67,6425.43,0.33107,0.24542,0.90283,0.99713,0.99832,0.99342,0.96976,0.23559,0.15817,0.80115,0.006733,0.006733,0.006733
68,6522.25,0.32182,0.24372,0.90207,0.99761,0.99832,0.99456,0.97155,0.23102,0.16155,0.79696,0.0066835,0.0066835,0.0066835
69,6618.45,0.32797,0.24168,0.89929,0.99755,0.99832,0.99391,0.96964,0.22803,0.15525,0.79906,0.006634,0.006634,0.006634
70,6715.28,0.32591,0.24122,0.9012,0.99778,0.99832,0.99347,0.97123,0.2218,0.15333,0.79294,0.0065845,0.0065845,0.0065845
71,6811.41,0.32669,0.24273,0.90718,0.99782,0.99832,0.99341,0.96981,0.22496,0.15046,0.79599,0.006535,0.006535,0.006535
72,6908.5,0.3228,0.24181,0.90542,0.9978,0.99832,0.99431,0.97012,0.22087,0.15534,0.7902,0.0064855,0.0064855,0.0064855
73,7004.94,0.31823,0.2407,0.90127,0.99779,0.99832,0.99374,0.96951,0.22345,0.1544,0.79208,0.006436,0.006436,0.006436
74,7101.8,0.3275,0.24729,0.90092,0.99766,0.99832,0.99374,0.97106,0.22445,0.15449,0.79401,0.0063865,0.0063865,0.0063865
75,7198.17,0.31937,0.23757,0.9009,0.99779,0.99832,0.99351,0.9709,0.22767,0.15528,0.79812,0.006337,0.006337,0.006337
76,7294.78,0.3195,0.23975,0.89933,0.99777,0.99832,0.99394,0.97112,0.22462,0.14906,0.79715,0.0062875,0.0062875,0.0062875
77,7391.76,0.31879,0.23707,0.89979,0.9978,0.99832,0.99401,0.9682,0.22102,0.14858,0.79388,0.006238,0.006238,0.006238
78,7487.94,0.32244,0.24027,0.90203,0.99763,0.99832,0.99386,0.97145,0.22445,0.15089,0.79283,0.0061885,0.0061885,0.0061885
79,7585.09,0.31411,0.23512,0.90315,0.99772,0.99832,0.99423,0.97268,0.21888,0.14315,0.7909,0.006139,0.006139,0.006139
80,7681.66,0.3125,0.23307,0.90128,0.99773,0.99832,0.99388,0.97033,0.21738,0.14667,0.79174,0.0060895,0.0060895,0.0060895
81,7778.82,0.31197,0.23556,0.89964,0.99771,0.99832,0.99435,0.97169,0.21526,0.14586,0.79213,0.00604,0.00604,0.00604
